domain,owner,category_type,certified_date,cert_level,detail_url
viettelcloud.vn,Viettel Cloud,Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/viettelcloud.vn
viettelidc.com.vn,Công ty TNHH Viettel-CHT (Viettel IDC),Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/viettelidc.com.vn
viettelmoney.vn,Tổng Công ty Dịch vụ Số Viettel (Viettel Money),Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/viettelmoney.vn
viettelpay.vn,ViettelPay,Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/viettelpay.vn
viettelsolutions.vn,Tổng Công ty Giải pháp Doanh nghiệp Viettel,Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/viettelsolutions.vn
vietteltelecom.vn,Tổng Công ty Viễn thông Viettel,Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vietteltelecom.vn
viettuans.vn,Công Ty TNHH Công Nghệ Việt Tuấn,Ví điện tử & Cổng thanh toán,16/11/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/viettuansvn-1668591834
vinaphone.com.vn,Tổng Công ty Dịch vụ Viễn thông (VinaPhone),Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vinaphone.com.vn
vinaphone.vn,VinaPhone Việt Nam,Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vinaphone.vn
vivutoday.com,VIVUTODAY,Ví điện tử & Cổng thanh toán,01/08/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vivutodaycom-1658125073
vnnic.vn,Trung tâm Internet Việt Nam (VNNIC - Bộ TT&TT),Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vnnic.vn
vnpay.vn,Công ty Cổ phần Giải pháp Thanh toán Việt Nam (VNPAY),Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vnpay.vn
vnpayment.vn,VNPAY Gateway,Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vnpayment.vn
vnpayqr.vn,VNPAY-QR,Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vnpayqr.vn
vnpt.com.vn,Tập đoàn Bưu chính Viễn thông Việt Nam (VNPT),Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vnpt.com.vn
vnpt.vn,Tập đoàn Bưu chính Viễn thông Việt Nam (VNPT),Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vnpt.vn
vnptit.vn,Công ty CNTT VNPT (VNPT-IT),Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vnptit.vn
vnptmoney.vn,Tổng Công ty Truyền thông VNPT (VNPT Money),Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vnptmoney.vn
vnptpay.vn,VNPT Pay,Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vnptpay.vn
vnta.gov.vn,Cục Viễn thông (Bộ Thông tin và Truyền thông),Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vnta.gov.vn
vongbingocanh.com,Công Ty CP Vật Tư Thương Mại Ngọc Anh,Ví điện tử & Cổng thanh toán,25/03/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vongbingocanhcom-1648184919
vsm.vn,Công ty TNHH Digital Marketing VSM,Ví điện tử & Cổng thanh toán,22/07/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vsmvn-1656568229
vtc.gov.vn,Tổng Công ty Truyền thông Multimedi (VTC),Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vtc.gov.vn
vtc.vn,Tổng Công ty VTC,Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vtc.vn
web2m.com,Công ty TNHH Thương Mại Và Dịch Vụ FUTE,Ví điện tử & Cổng thanh toán,26/07/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/web2mcom-1658547762
wininvoice.vn,Công ty TNHH Win Tech Solution,Ví điện tử & Cổng thanh toán,29/11/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/wininvoicevn-1669374485
wintel.vn,Mạng di động Wintel (Masan Group),Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/wintel.vn
wiza.vn,Công Ty TNHH Thương Mại Dịch Vụ Halink,Ví điện tử & Cổng thanh toán,22/06/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/wizavn-1653729436
www.vps.com.vn,Công ty chứng khoán VPS,Ví điện tử & Cổng thanh toán,06/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/httpswwwvpscomvn-1619694439
xuyenvietmedia.com,Công ty TNHH Thương Mại Dịch Vụ Xuyên Việt Media,Ví điện tử & Cổng thanh toán,22/09/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/xuyenvietmediacom-1663301778
z.com,Công Ty Cổ Phần GMO-Z.com RUNSYSTEM,Ví điện tử & Cổng thanh toán,22/11/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/zcom-1669089178
zalopay.com.vn,ZaloPay Việt Nam,Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/zalopay.com.vn
zalopay.vn,Công ty Cổ phần ZION (ZaloPay),Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/zalopay.vn
zozo.vn,Công Ty TNHH Phần Mềm Zozo,Ví điện tử & Cổng thanh toán,21/01/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/zozovn-1642498177
bmsglobal.vn,Công ty TNHH BMS Global,Ví điện tử & Cổng thanh toán,10/05/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bmsglobalvn-1651629642
clicksend.vn,Công Ty TNHH Công Nghệ Flick,Ví điện tử & Cổng thanh toán,18/10/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/clicksendvn-1665900485
erp.5ky.vn,Công Ty TNHH Thẩm Mỹ Viện Auto Năm Kỹ,Ví điện tử & Cổng thanh toán,12/08/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/erp5kyvn-1658717796
fahatech.com,Công Ty TNHH Fahatech,Ví điện tử & Cổng thanh toán,25/05/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/fahatechcom-1652067265
fpt.net,FPT Telecom ISP Network,Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/fpt.net
ktdb.vn,Công Ty Cổ Phần Truyền Thông 1Z Networks,Ví điện tử & Cổng thanh toán,04/04/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ktdbvn-1647961838
momo.com.vn,MoMo Việt Nam,Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/momo.com.vn
my.vnpt.vn,Cổng thông tin Khách hàng My VNPT,Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/my.vnpt.vn
napangroup.vn,Công ty Cổ phần Thanh toán Quốc gia Việt Nam (Napas),Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/napangroup.vn
thuongtindigital.com,Công Ty TNHH Thương Mại Và Dịch Vụ Thượng Tín Digital,Ví điện tử & Cổng thanh toán,22/11/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/thuongtindigitalcom-1668082894
tourdulichquangbinh.vn,Công Ty TNHH Du Lịch Thám Hiểm Phong Nha,Ví điện tử & Cổng thanh toán,29/11/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/tourdulichquangbinhvn-1637552673
vietnamobile.vn,Vietnamobile,Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vietnamobile.vn
viettelpay.com.vn,ViettelPay Việt Nam,Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/viettelpay.com.vn
vivaweb.vn,Công Ty TNHH Thương Mại Dịch Vụ Halink,Ví điện tử & Cổng thanh toán,22/06/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vivawebvn-1653729421
vtn.com.vn,Công ty Viễn thông Liên tỉnh VNPT (VTN),Tổ chức & Nhà mạng Viễn thông,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/vtn.com.vn
